index,x,y,z
0,-5.000,-4.500,1.420
1,-5.000,-4.000,1.399
2,-5.500,-4.500,1.298
3,-5.500,-4.000,1.302
4,-5.000,-4.000,1.399
5,-4.500,-4.000,1.473
6,-4.000,-4.000,1.506
7,-3.500,-4.000,1.525
8,-3.000,-4.000,1.568
9,-2.500,-4.500,1.616
10,-2.000,-4.500,1.650
11,-1.500,-4.500,1.679
12,-1.000,-4.500,1.664
13,-1.500,-5.000,1.557
14,-1.000,-5.000,1.561
15,-0.500,-5.000,1.501
16,0.000,-5.000,1.403
17,0.500,-5.000,1.323
18,1.000,-5.000,1.272
19,1.500,-5.000,1.239
20,2.000,-4.500,1.246
21,2.500,-4.500,1.292
22,3.000,-4.500,1.348
23,3.500,-4.500,1.398
24,4.000,-4.500,1.423
25,4.500,-4.500,1.417
26,4.500,-4.000,1.395
27,4.500,-3.500,1.385
28,4.500,-3.000,1.379
29,4.500,-2.500,1.373
30,4.500,-2.000,1.367
31,5.000,-1.500,1.358
32,4.500,-1.500,1.370
33,4.000,-1.000,1.425
34,3.500,-0.500,1.449
35,3.000,0.000,1.438
36,2.500,0.000,1.469
37,2.000,0.000,1.464
38,1.500,-0.500,1.492
39,1.500,-1.000,1.504
40,1.500,-1.500,1.466
41,1.000,-1.500,1.358
42,0.500,-1.500,1.307
43,0.000,-1.500,1.303
44,-0.500,-1.500,1.303
45,-1.000,-1.500,1.295
46,-1.500,-1.500,1.282
47,-2.000,-1.500,1.250
48,-2.500,-1.500,1.180
49,-3.000,-1.500,1.102
50,-3.500,-1.500,1.052
51,-4.000,-1.500,1.004
52,-4.500,-1.500,0.956
53,-5.000,-1.500,0.955
54,-4.500,-1.000,1.020
55,-4.000,-0.500,1.033
56,-4.000,0.000,1.040
57,-4.000,0.500,1.029
58,-4.500,1.000,1.016
59,-5.000,1.500,1.003
60,-4.500,1.500,0.995
61,-4.000,1.500,0.996
62,-3.500,1.000,0.991
63,-3.000,1.000,0.995
64,-2.500,1.000,1.008
65,-2.000,1.000,1.027
66,-1.500,1.000,1.056
67,-1.000,1.000,1.104
68,-0.500,1.000,1.166
69,0.000,1.000,1.220
70,0.500,1.000,1.248
71,1.000,1.500,1.321
72,1.500,1.500,1.365
73,2.000,1.000,1.405
74,2.500,0.500,1.436
75,3.000,0.500,1.428
76,3.500,1.000,1.466
77,4.000,1.500,1.510
78,4.500,1.500,1.525
79,4.000,2.000,1.542
80,4.000,2.500,1.542
81,4.000,3.000,1.534
82,4.000,3.500,1.538
83,4.000,4.000,1.527
84,4.000,4.500,1.460
85,4.500,4.500,1.381
86,4.500,5.000,1.306
87,5.000,5.000,1.254
88,4.500,5.500,1.242
89,4.000,5.500,1.238
90,3.500,5.500,1.307
91,3.000,5.500,1.398
92,2.500,5.500,1.448
93,2.000,5.000,1.550
94,1.500,5.000,1.546
95,1.000,5.000,1.546
96,0.500,5.000,1.547
97,0.000,5.000,1.546
98,-0.500,5.000,1.537
99,-1.000,5.000,1.517
100,-1.500,5.000,1.506
101,-2.000,5.000,1.490
102,-2.500,5.000,1.422
103,-3.000,5.000,1.318
104,-3.500,5.000,1.224
105,-4.000,5.000,1.180
106,-4.500,5.000,1.218
107,-5.000,5.000,1.297
